Name,Quantity,Unit,Location,Price,Last Updated,Notes
earplugs,3,boxes,1,0,5/24/2023,backup stock shelf 1
ear muffs,1,ea,1,0,,
Packing Envelopes,5,ea,1,0,,
"6"" pasteur pipet",2,cs,1,0,5/24/2023,360/pk
"9"" pasteur pipet",2,cs,1,0,5/24/2023,
Safety Goggles,backup,stock,1,0,5/24/2023,
Shipping tape,11.00,,2,0,5/24/2023,Regular stock in E 32
Clorox disposable wipes,10.00,,2,0,5/24/2023,
Scouring Pads,40,pcs,2,0,5/24/2023,
bio cleanup kit,1,ea,2,0,5/24/2023,
Screw on spray tops,3,ea,3,0,5/24/2023,
soap dispensers,7,ea,2,0,5/24/2023,
Soap refills,7.5,bottles,2,0,5/24/2023,
Static Guard,1,ea,2,0,5/24/2023,
utility wipes,2,boxes,2,0,6/16/2022,
N95 mask for dust,1,open,3,0,5/24/2023,"two boxes in back up as of May 2023, Backup location(s): 108"
"""Grip Safe"" rubber handle tool",1,ea,3,0,,
Biohazard bags,2,boxes,3,0,5/24/2023,
Cheesecloth / cheese cloth,1,pack,3,0,5/24/2023,
Blood Cleanup Kit / Saliva Cleanup Kit,3,ea,3,0,5/24/2023,
"Colander, Strainer, Bowl with Holes",2,ea,3,0,5/24/2023,
Hazardous Waste Labels (large),~200,,3,0,5/24/2023,Back-up stock: Left of chem. room sink
Flashlights,2,ea,3,0,5/24/2023,
Hazardous Waste Labels (small),37.00,,3,0,5/24/2023,Back-up stock: Left of chem. room sink
Measuring Tapes,2,ea,3,0,5/24/2023,
Power Tool Speed Contol,1,ea,3,0,5/24/2023,Batrow Motor Control
Red Plastic Biohazard Bags,3,ea,3,0,5/24/2023,
"6"" x 9"" Plastic Non-Zip Bags",1,case,4,0,5/24/2023,
Chemical Cartridges for orghanic vapors,10,ea,4,0,5/24/2023,
cotton tipped applicators,6,boxes,4,0,5/24/2023,
power tool speed contol,1,ea,4,0,5/24/2023,
Scissors (Very Large)/Shears,1,ea,4,0,5/24/2023,
Small Shovel,2,ea,4,0,5/24/2023,
Toolbox,1,ea,4,0,5/24/2023,
Shipping Strap Tool Kit,1.00,,5,0,6/20/2023,Nick ordered 6/23 when the shipping straps for an order were lost
Body Fluid Clean Up Kit (Bloodborne pathogens),2,ea,5,0,5/24/2023,Mercury cleanup kit is under hood (Hg cleanup kit)
Dusters,6,ea,5,0,5/24/2023,
dustpan and brush,1.00,,5,0,5/24/2023,
First Aid Kits,2,ea,5,0,5/24/2023,
1000 ml plastic graduated cylinder,2,ea,6,0,8/1/2023,
4000 ml plastic graduated cylinder,1,ea,6,0,8/1/2023,
500 ml plastic graduated cylinder,1,ea,6,0,8/1/2023,
"Bottle, Plastic, Clear, NM, 1 L",24,ea,6,0,8/1/2023,
"Bottle, Glass, Clear, NM, 1 L",72,ea,6,0,8/1/2023,
1 L glass bottle ground glass neck,1.00,,7,0,5/25/2023,
